hour,mean_buy_price,mean_sell_price,currency
0,18.234072115384617,18.099081730769228,MXN
1,18.238710918710918,18.09808080808081,MXN
2,18.2425625,18.09373076923077,MXN
3,18.264088504088505,18.084312500000003,MXN
4,18.30623076923077,18.06476923076923,MXN
5,18.36824519230769,18.03982683982684,MXN
6,18.464908653846155,17.94541165142032,MXN
7,18.534139423076923,17.82322066634476,MXN
8,18.599033653846153,17.662393617021277,MXN
9,18.64297596153846,17.569555340744323,MXN
10,18.658805555555553,17.570335820895522,MXN
11,18.65204017857143,17.665349775784755,MXN
12,18.584464285714283,17.838004464285714,MXN
13,18.485927272727274,17.980840909090908,MXN
14,18.388254807692306,18.074427884615382,MXN
15,18.313312500000002,18.09925,MXN
16,18.268052884615386,18.103076923076923,MXN
17,18.24591346153846,18.107908653846152,MXN
18,18.229685,18.10485,MXN
19,18.23283309283309,18.104528846153844,MXN
20,18.22705738106915,18.101014705882353,MXN
21,18.221341836734695,18.096806122448978,MXN
22,18.22627358490566,18.101627358490564,MXN
23,18.229548076923077,18.101408653846153,MXN
