hour,mean_buy_price,mean_sell_price,currency
0,0.8687600219659527,0.8675748691099476,EUR
1,0.8697904967602592,0.8666293193717277,EUR
2,0.8702955771305286,0.866215110178384,EUR
3,0.8706910263299301,0.8662101944298476,EUR
4,0.8701489247311829,0.8668385909568875,EUR
5,0.8700597738287561,0.8665906463478719,EUR
6,0.8688455284552845,0.867288654353562,EUR
7,0.8681362898864251,0.8682865435356201,EUR
8,0.8664141358365544,0.8695648050579557,EUR
9,0.8638512585812357,0.8708337730870712,EUR
10,0.8631989938513135,0.8715460957178841,EUR
11,0.8630984057174271,0.8722176015473888,EUR
12,0.8629834801762114,0.8729748792270532,EUR
13,0.8630493460166467,0.8743916449086162,EUR
14,0.8630292148508825,0.8751195304162219,EUR
15,0.8628313468414779,0.8754697286012526,EUR
16,0.862833031946956,0.8759311783107404,EUR
17,0.8627911164465787,0.8762735799895779,EUR
18,0.8633698795180723,0.8752184782608696,EUR
19,0.8639753157290471,0.875097967691506,EUR
20,0.8641840094062316,0.873432302771855,EUR
21,0.8651117182756527,0.8722569676700112,EUR
22,0.8663034140969162,0.8704479753972322,EUR
23,0.8676130289532293,0.8691533613445378,EUR
