hour,mean_buy_price,mean_sell_price,currency
0,6.950105113636363,6.952321022727273,CNY
1,6.948485795454546,6.953426136363637,CNY
2,6.947798295454546,6.954215463331439,CNY
3,6.9472812500000005,6.954161931818183,CNY
4,6.946701704545454,6.954000000000001,CNY
5,6.945428977272727,6.9535142045454545,CNY
6,6.943349431818182,6.9520119352088665,CNY
7,6.942227272727273,6.951127840909091,CNY
8,6.941332386363637,6.949960193346603,CNY
9,6.941588068181818,6.949880647911339,CNY
10,6.942425,6.950408333333334,CNY
11,6.942660326086957,6.950690405001359,CNY
12,6.942635869565218,6.949722750747487,CNY
13,6.942807692307692,6.948629120879121,CNY
14,6.944868131868132,6.947854785478548,CNY
15,6.946991847826087,6.947798913043479,CNY
16,6.948836956521739,6.946795324816526,CNY
17,6.951469444444444,6.948052777777778,CNY
18,6.953133720930232,6.948994186046512,CNY
19,6.954110795454546,6.949497159090909,CNY
20,6.954002873563218,6.949313218390805,CNY
21,6.9529499999999995,6.9486823529411765,CNY
22,6.954019662921349,6.950348412475415,CNY
23,6.952332386363636,6.951201704545454,CNY
