date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,GBP,0.772599342137412,0.75,0.022599342137411993,3.0132456183215917
2025-12-09,GBP,0.7725139553734359,0.75,0.022513955373435923,3.0018607164581157
2025-12-10,GBP,0.7712713391379331,0.75,0.02127133913793311,2.836178551724422
2025-12-11,GBP,0.7691161551048036,0.75,0.01911615510480358,2.5488206806404845
2025-12-12,GBP,0.7706816828159117,0.75,0.02068168281591165,2.7575577087882275
2025-12-15,GBP,0.7720195306933206,0.75,0.022019530693320633,2.9359374257760917
2025-12-16,GBP,0.7714575579642509,0.75,0.021457557964250862,2.861007728566789
2025-12-17,GBP,0.7672521493557314,0.75,0.017252149355731383,2.300286580764177
2025-12-18,GBP,0.7696255826678642,0.75,0.019625582667864183,2.616744355715217
2025-12-19,GBP,0.7690233823135272,0.75,0.019023382313527182,2.53645097513695
2025-12-22,GBP,0.7646822666519358,0.75,0.014682266651935838,1.9576355535914525
