date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,MXN,18.3366015625,18.18,0.15660156250000057,0.8613947332233307
2025-12-09,MXN,18.356327304918317,18.26,0.0963273049183151,0.5275317903522092
2025-12-10,MXN,18.303314271597507,18.19,0.11331427159750618,0.6229481671110815
2025-12-11,MXN,18.22343229166667,18.18,0.04343229166666873,0.23890149431611274
2025-12-12,MXN,18.14611408067965,18.03,0.11611408067964746,0.64400488452383
2025-12-15,MXN,18.049000870727532,18.01,0.03900087072753067,0.21655119782082455
2025-12-16,MXN,18.120290364583333,17.98,0.14029036458333266,0.7802578675379923
2025-12-17,MXN,18.05057659583339,17.96,0.09057659583339017,0.5043240302527341
2025-12-18,MXN,18.11013005558405,18.02,0.0901300555840514,0.5001667901445739
2025-12-19,MXN,18.12696610626646,18.01,0.1169661062664602,0.649450895427317
