date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,BOB,9.538210471476948,6.96,2.5782104714769476,37.04325390053085
2025-12-09,BOB,9.46388353309015,6.96,2.5038835330901508,35.975338119111356
2025-12-10,BOB,9.387831330716567,6.96,2.4278313307165673,34.88263406201963
2025-12-11,BOB,9.25121283545349,6.96,2.29121283545349,32.91972464732027
2025-12-12,BOB,9.135860537344254,6.96,2.1758605373442537,31.262364042302494
2025-12-15,BOB,9.164107840583485,6.96,2.204107840583485,31.668216100337432
2025-12-16,BOB,9.192916494899377,6.96,2.232916494899377,32.08213354740484
2025-12-17,BOB,9.234173670810241,6.96,2.2741736708102414,32.67490906336554
2025-12-18,BOB,10.152023778764951,6.96,3.192023778764951,45.86241061443894
2025-12-19,BOB,9.956009762464754,6.96,2.9960097624647544,43.04611727679244
2025-12-22,BOB,9.663757462686567,6.96,2.703757462686567,38.847089981128825
