date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,CNY,6.978908710696688,7.07,0.09109128930331245,-1.288419933568774
2025-12-09,CNY,6.980334711391313,7.07,0.08966528860868728,-1.2682501924849654
2025-12-10,CNY,6.9815336476882734,7.06,0.07846635231172616,-1.1114214208459816
2025-12-11,CNY,6.9780216727853395,7.07,0.09197832721466082,-1.3009664386797848
2025-12-12,CNY,6.979071287621016,7.06,0.08092871237898347,-1.1462990421952313
2025-12-15,CNY,6.978388491604802,7.06,0.0816115083951976,-1.1559703738696525
2025-12-16,CNY,6.976445449186528,7.05,0.07355455081347184,-1.0433269618932206
2025-12-17,CNY,6.9709468464692925,7.04,0.06905315353070751,-0.9808686581066373
2025-12-18,CNY,6.968672325127111,7.04,0.07132767487288927,-1.0131771998989958
2025-12-19,CNY,6.965822916666667,7.04,0.07417708333333284,-1.053651751893936
2025-12-22,CNY,6.9390948795180725,7.04,0.10090512048192757,-1.4333113704819267
