date,currency,avg_buy_price,avg_sell_price,mid_price,log_price,log_return,volatility
2025-12-07,GBP,0.7881290780141844,0.7622173913043478,0.7751732346592661,-0.2546687460149822,,
2025-12-08,GBP,0.7852161458333333,0.7599825384414907,0.772599342137412,-0.25799468024214883,-0.003325934227166649,
2025-12-09,GBP,0.7852943169968718,0.7597335937499999,0.7725139553734359,-0.2581052051650791,-0.00011052492293028848,
2025-12-10,GBP,0.785190796555436,0.7573518817204301,0.7712713391379331,-0.25971503589514205,-0.0016098307300629333,
2025-12-11,GBP,0.7829462982273201,0.7552860119822871,0.7691161551048036,-0.2625132739326053,-0.002798238037463263,
2025-12-12,GBP,0.781645724713243,0.7597176409185803,0.7706816828159117,-0.26047985342507873,0.0020334205075265843,
2025-12-13,GBP,0.7880882276168103,0.7560171874999999,0.7720527075584052,-0.25870245724854213,0.0017773961765366053,
2025-12-14,GBP,0.78922,0.7551226589290425,0.7721713294645213,-0.25854882422184977,0.0001536330266923569,0.0021080231379689437
2025-12-15,GBP,0.786806417949387,0.7572326434372544,0.7720195306933206,-0.2587454304518259,-0.0001966062299761373,0.0017180212510922229
2025-12-16,GBP,0.7855650247589263,0.7573500911695754,0.7714575579642509,-0.25947362105216876,-0.0007281906003428484,0.0017340048551776912
2025-12-17,GBP,0.7817297368421052,0.7527745618693574,0.7672521493557314,-0.26493978411022134,-0.005466163058052587,0.0026361530074286905
2025-12-18,GBP,0.7884548592671269,0.7507963060686016,0.7696255826678642,-0.2618511386708296,0.003088645439391746,0.0028060200804445406
2025-12-19,GBP,0.7905388115631692,0.7475079530638852,0.7690233823135272,-0.2626339038093259,-0.0007827651384962886,0.0026808020797637402
2025-12-20,GBP,0.7915357636012152,0.745876009377442,0.7687058864893286,-0.263046844936417,-0.0004129411270911154,0.002519860645873885
2025-12-21,GBP,0.796330173347779,0.746034904923157,0.7711825391354681,-0.25983017710463163,0.003216667831785369,0.0029121362774668503
2025-12-22,GBP,0.780549765502866,0.7489068614662144,0.7647283134845402,-0.26823465400663904,-0.008404476902007407,0.004259317882966326
2025-12-23,GBP,0.7894678486372055,0.7472584006251628,0.7683631246311842,-0.2634928390477369,0.004741814958902135,0.00485388458580731
2025-12-24,GBP,0.7881053188674253,0.7482309903318526,0.7681681545996389,-0.2637466184991897,-0.0002537794514527736,0.004352221494024533
2025-12-25,GBP,0.7880967910253066,0.7487700366684128,0.7684334138468597,-0.2634013640684997,0.0003452544306900007,0.004165143558896976
2025-12-26,GBP,0.7887086571964621,0.7463802083333333,0.7675444327648977,-0.2645589083432245,-0.0011575442747248088,0.004175955964437403
2025-12-27,GBP,0.7868361798536075,0.7454396755660696,0.7661379277098386,-0.2663930631664286,-0.0018341548232040927,0.004218116358864347
