date,currency,avg_buy_price,avg_sell_price,mid_price,log_price,log_return,volatility
2025-12-07,JPY,171.98861495844875,145.96608897742362,158.9773519679362,5.068761751621396,,
2025-12-08,JPY,170.89804060913707,145.40560399334444,158.15182230124077,5.0635554722982405,-0.005206279323155094,
2025-12-09,JPY,170.70145982783356,145.28951532207628,157.99548757495492,5.062566472966948,-0.000988999331292817,
2025-12-10,JPY,172.78245780156445,148.1584557268057,160.4704567641851,5.0781098556220305,0.015543382655082816,
2025-12-11,JPY,171.49250434027778,148.60265380313197,160.0475790717049,5.075471140226526,-0.0026387153955047538,
2025-12-12,JPY,172.4528233064898,148.29004271070616,160.371433008598,5.077492581120865,0.002021440894338866,
2025-12-13,JPY,171.70982489531787,148.49448017743276,160.1021525363753,5.075812064861539,-0.0016805162593254153,
2025-12-14,JPY,172.03254280821918,150.02109392898052,161.02681836859983,5.081570924830613,0.005758859969073882,0.006991406387558783
2025-12-15,JPY,173.31613304721031,151.5483198327672,162.43222643998877,5.090260846711111,0.008689921880497664,0.006623755478170857
2025-12-16,JPY,173.01225040257648,152.22622111344538,162.61923575801092,5.091411491211465,0.001150644500354403,0.0064110706432227
2025-12-17,JPY,171.35136673346693,151.93856950973807,161.64496812160252,5.085402375456837,-0.006009115754627814,0.005039652415729027
