date,currency,avg_buy_price,avg_sell_price,mid_price,log_price,log_return,volatility
2025-12-07,ARS,1502.4817280453258,1493.456488909863,1497.9691084775945,7.3118655420204695,,
2025-12-08,ARS,1504.0643318572545,1493.8562037519541,1498.9602678046044,7.312526991950516,0.0006614499300461318,
2025-12-09,ARS,1497.855465207193,1489.1683459234175,1493.5119055653054,7.3088856092114725,-0.003641382739043131,
2025-12-10,ARS,1494.062832929782,1485.3358859908578,1489.69935946032,7.3063296064064795,-0.0025560028049929073,
2025-12-11,ARS,1496.0074739583333,1487.7073802083332,1491.8574270833333,7.307777217942586,0.001447611536106841,
2025-12-12,ARS,1502.3450573215216,1494.5646169880147,1498.454837154768,7.312189747600348,0.00441252965776151,
2025-12-13,ARS,1507.8127604166666,1498.6247147694712,1503.218737593069,7.315363913157988,0.003174165557640052,
2025-12-14,ARS,1507.7993156093708,1499.723657894737,1503.7614867520538,7.3157249059975715,0.00036099283958357375,0.0028831164174037104
2025-12-15,ARS,1511.951357124251,1503.7204949205523,1507.8359260224015,7.3184307402760815,0.002705834278510011,0.0029974105473385988
2025-12-16,ARS,1533.3068377181557,1523.1820494791668,1528.2444435986613,7.331874933108776,0.01344419283269449,0.005014501682691955
2025-12-17,ARS,1540.286256909713,1532.2486798418972,1536.267468375805,7.337111031605382,0.005236098496605557,0.004318557561073886
2025-12-18,ARS,1544.75267965254,1535.538659468001,1540.1456695602706,7.339632281557816,0.0025212499524345233,0.004214138249016194
2025-12-19,ARS,1542.6678019586507,1532.7307720188476,1537.699286988749,7.3380426088347015,-0.0015896727231146102,0.004814777607646639
