date,hour,buy_volume,sell_volume,currency,imbalance
2025-12-10,19,4001882.0,1735011.0,EUR,0.3951391458756508
2025-12-10,20,3953717.0,1449949.0,EUR,0.46334618016731605
2025-12-10,21,2852113.0,959047.0,EUR,0.49671648526957674
2025-12-10,22,3518609.0,2150480.0,EUR,0.24133136735020388
2025-12-10,23,3931749.0,1866202.0,EUR,0.35625464927178585
2025-12-11,0,4192696.0,638984.0,EUR,0.7355023511490827
2025-12-11,1,4000823.0,506610.0,EUR,0.7752113009777405
2025-12-11,2,3939092.0,837233.0,EUR,0.6494237724610449
2025-12-11,3,4677535.0,1170229.0,EUR,0.5997687321170964
2025-12-11,4,5071519.0,1146848.0,EUR,0.6311417450915972
2025-12-11,5,4827600.0,1145356.0,EUR,0.6164860414173484
2025-12-11,6,4699068.0,1326984.0,EUR,0.5595842850343807
2025-12-11,7,4108459.0,1912780.0,EUR,0.36465567966991513
2025-12-11,8,4253714.0,3050406.0,EUR,0.1647437336735979
2025-12-11,9,4991186.0,2256876.0,EUR,0.3772470489352878
2025-12-11,10,5735605.0,2110479.0,EUR,0.46202997571782306
2025-12-11,11,5904944.0,2036257.0,EUR,0.48716648778944144
2025-12-11,12,5587429.0,1895919.0,EUR,0.49329658329400156
2025-12-11,13,5542493.0,2076701.0,EUR,0.4548764606859991
2025-12-11,14,5614183.0,1498242.0,EUR,0.5786972797604193
2025-12-11,15,5287800.0,1212643.0,EUR,0.6269045048160564
2025-12-11,16,5381577.0,1658071.0,EUR,0.5289335489501747
2025-12-11,17,5534418.0,1644917.0,EUR,0.5417634084493899
2025-12-11,18,4655119.0,1419371.0,EUR,0.5326781342960479
2025-12-11,19,4391703.0,1628831.0,EUR,0.4589081300761693
2025-12-11,20,4133885.0,1937981.0,EUR,0.36165224990143063
2025-12-11,21,4285733.0,1739466.0,EUR,0.4226029712877533
2025-12-11,22,3958201.0,2555767.0,EUR,0.21529642147459122
2025-12-11,23,3384237.0,3643306.0,EUR,-0.036864804669284844
2025-12-12,0,3560356.0,1987946.0,EUR,0.2834038233679421
2025-12-12,1,3667454.0,1546019.0,EUR,0.4069139707830078
2025-12-12,2,3664523.0,1349277.0,EUR,0.4617747018229686
2025-12-12,3,4010057.0,1641728.0,EUR,0.4190408870825766
2025-12-12,4,4211484.0,1345631.0,EUR,0.5157087805453009
2025-12-12,5,4394325.0,1197287.0,EUR,0.5717560517432182
2025-12-12,6,4838097.0,1166656.0,EUR,0.6114224848216071
2025-12-12,7,4266639.0,1329035.0,EUR,0.5249776881212165
2025-12-12,8,4666065.0,1913559.0,EUR,0.41833788678501993
2025-12-12,9,4964054.0,2296066.0,EUR,0.3674853859164862
2025-12-12,10,4501521.0,2250389.0,EUR,0.3334066952906659
2025-12-12,11,4007866.0,2386591.0,EUR,0.25354381146045707
2025-12-12,12,4059827.0,2644237.0,EUR,0.21115401046290727
2025-12-12,13,4149318.0,2102283.0,EUR,0.3274417225283571
2025-12-12,14,3565664.0,2155587.0,EUR,0.24646305502065893
2025-12-12,15,3247724.0,2306020.0,EUR,0.1695620107804753
