,date,avg_buy_price,avg_sell_price,currency,spread_abs,spread_pct
0,2025-12-07,1502.4817280453258,1493.456488909863,ARS,9.025239135462698,0.6024983482226256
1,2025-12-08,1504.0643318572545,1493.8562037519541,ARS,10.208128105300375,0.6810139217533313
2,2025-12-09,1497.855465207193,1489.1683459234175,ARS,8.687119283775473,0.5816571834080784
3,2025-12-10,1494.4380986639258,1484.8938060979785,ARS,9.544292565947217,0.6407001885686151
